ErrorCode,ErrorColumn,ErrorMessage,SFOrderID,SFProductID,QuantityOrderedRevised,LastUnitPrice,LineKey,SageUpdateTime
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z4N3AAK,01t4x000000fw9NAAQ,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z46YAAS,01t4x000000fw9OAAQ,.000000,.000000,000017,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z4uMAAS,01t4x000000fw9OAAQ,.000000,.000000,000002,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z4ocAAC,01t4x000000fw9OAAQ,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z4ogAAC,01t4x000000fw9OAAQ,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z4eLAAS,01t4x000000fw9OAAQ,.000000,.000000,000003,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z4iIAAS,01t4x000000fw9OAAQ,.000000,.000000,000003,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z3WWAA0,01t4x000000fw9OAAQ,.000000,.000000,000003,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z3G0AAK,01t4x000000fw9OAAQ,.000000,.000000,000002,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z394AAC,01t4x000000frjTAAQ,.000000,3.600000,000003,2014-01-03 10:36:29
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z38LAAS,01t4x000000fw9OAAQ,.000000,.000000,000003,2014-01-03 10:36:33
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z51LAAS,01t4x000000fw9OAAQ,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z3LoAAK,01t4x000000fw9PAAQ,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z4j5AAC,01t4x000000fw9OAAQ,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z4iQAAS,01t4x000000fw9PAAQ,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z6NmAAK,01t4x000000ftWhAAI,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z6NEAA0,01t4x000000fsQqAAI,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z6N0AAK,01t4x000000fs0zAAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z6MXAA0,01t4x000000ftIEAAY,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z6MBAA0,01t4x000000fstOAAQ,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z6MEAA0,01t4x000000ft5eAAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z6M0AAK,01t4x000000frseAAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z6M0AAK,01t4x000000fw9NAAQ,.000000,.000000,000002,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z6ANAA0,01t4x000000ft5iAAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z6AFAA0,01t4x000000fs5cAAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z6A8AAK,01t4x000000ft5iAAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z6A8AAK,01t4x000000fsJuAAI,.000000,.000000,000002,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z66EAAS,01t4x000000fw9OAAQ,.000000,.000000,000007,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z65jAAC,01t4x000000frsxAAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5uKAAS,01t4x000000frlFAAQ,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5nJAAS,01t4x000000ft5dAAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z3FOAA0,01t4x000000fw9OAAQ,.000000,.000000,000002,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z5nAAAS,01t4x000000fshkAAA,.000000,.000000,000001,2013-11-03 17:06:05
1,,FIELD_INTEGRITY_EXCEPTION:Can't save order products with quantities of zero: Quantity:Quantity --,8014x000000Z3EmAAK,01t4x000000fw9OAAQ,.000000,.000000,000002,2013-11-07 20:27:44
